0,1,2,3
(In millions),,,
,,,
,,,
"Year Ended June 30,",2023,2022,2021
,,,
Stock-based compensation expense,"$ 9,611","$ 7,502","$ 6,118"
Income tax benefits related to stock-based compensation,"1,651","1,293","1,065"
,,,
