"Satya Nadella
Chairman and Chief Executive Officer,
Microsoft Corporation","Sandra E. Peterson 2,3
Lead Independent Director,
Microsoft Corporation","John W. Stanton 1,4
Founder and Chairman, Trilogy Partnerships"
,,
"Reid G. Hoffman 4
Partner, Greylock Partners","Penny S. Pritzker 4
Founder and Chairman, PSP Partners, LLC","John W. Thompson 3,4
Partner, Lightspeed Venture Partners"
,,
"Hugh F. Johnston 1
Vice Chairman and Executive Vice President and Chief Financial Officer, PepsiCo, Inc.","Carlos A. Rodriguez 1,2
Executive Chair, ADP, Inc.","Emma N. Walmsley 2,4
Chief Executive Officer, GSK plc"
,,
"Teri L. List 1,3
Former Executive Vice President and Chief Financial Officer, The Gap, Inc.","Charles W. Scharf 2,3
Chief Executive Officer and President, Wells Fargo & Company","Padmasree Warrior 2
Founder, President and Chief Executive Officer, Fable Group, Inc."
