(In millions),,,
,,,
,,,
"Year Ended June 30,",2023,2022,2021
,,,
"Balance, beginning of year","7,464","7,519","7,571"
Issued,37,40,49
Repurchased,(69	),(95	),(101	)
,,,
"Balance, end of year","7,432","7,464","7,519"
,,,
