0,1
(In millions),
,
,
"Year Ending June 30,",
,
2024,"$ 5,250"
2025,"2,250"
2026,"3,000"
2027,"8,000"
2028,0
Thereafter,"34,366"
,
Total,"$ 52,866"
,
